PersonCount,Temperature,Humidity,Light,Pressure
3,22.4,28.5,6.0,996.8
3,22.4,28.5,5.0,996.9
3,22.4,28.5,5.0,996.9
3,22.4,28.5,6.0,997.0
3,22.4,28.5,6.0,997.0
3,22.4,28.5,6.0,996.9
3,22.4,28.5,6.0,996.9
4,22.4,28.5,6.0,996.9
4,22.5,28.6,6.0,996.8
4,22.5,28.6,6.0,996.8
4,22.4,28.6,6.0,996.9
4,22.4,28.6,6.0,996.9
4,22.5,28.6,6.0,996.8
4,22.5,28.6,6.0,996.8
4,22.5,28.7,6.0,996.8
4,22.5,28.7,6.0,996.8
4,22.5,28.7,6.0,996.8
4,22.5,28.7,6.0,996.8
4,22.5,28.7,6.0,996.8
4,22.5,28.7,6.0,996.8
4,22.5,28.7,6.0,996.8
4,22.5,28.7,6.0,996.8
4,22.5,28.7,6.0,996.8
4,22.5,28.7,6.0,996.8
4,22.5,28.7,6.0,996.9
4,22.5,28.7,6.0,996.9
4,22.5,28.7,6.0,996.9
4,22.5,28.7,6.0,996.9
4,22.5,28.7,5.0,996.8
4,22.5,28.7,5.0,996.8
5,22.5,28.7,5.0,996.8
5,22.5,28.7,5.0,996.8
5,22.5,28.8,6.0,996.7
5,22.5,28.8,6.0,996.7
5,22.5,28.8,6.0,996.8
4,22.5,28.8,6.0,996.8
3,22.5,28.8,5.0,996.8
3,22.5,28.8,5.0,996.8
3,22.5,28.8,6.0,996.8
3,22.5,28.8,6.0,996.8
3,22.5,28.8,6.0,996.8
3,22.5,28.8,6.0,996.8
3,22.5,28.8,6.0,996.8
3,22.5,28.8,6.0,996.8
3,22.5,28.8,5.0,996.8
3,22.5,28.8,5.0,996.8
3,22.5,28.8,5.0,996.8
3,22.5,28.8,5.0,996.8
4,22.5,28.8,6.0,996.8
4,22.5,28.8,6.0,996.8
4,22.5,28.8,5.0,996.8
4,22.5,28.8,5.0,996.8
4,22.5,28.8,5.0,996.9
4,22.5,28.8,5.0,996.9
4,22.5,28.8,5.0,996.7
4,22.5,28.8,5.0,996.7
4,22.5,28.8,5.0,996.8
4,22.5,28.8,5.0,996.8
4,22.5,28.8,5.0,996.8
4,22.5,28.8,5.0,996.8
4,22.5,28.8,5.0,996.8
4,22.5,28.8,5.0,996.8
4,22.5,28.8,5.0,996.8
4,22.5,28.8,5.0,996.8
4,22.5,28.8,5.0,996.8
4,22.5,28.8,5.0,996.8
4,22.5,28.8,5.0,996.7
4,22.5,28.8,5.0,996.7
4,22.5,28.8,5.0,996.8
4,22.5,28.8,5.0,996.8
4,22.5,28.8,5.0,996.8
4,22.5,28.8,5.0,996.8
4,22.5,28.8,5.0,996.7
4,22.5,28.8,5.0,996.7
4,22.5,28.9,5.0,996.7
4,22.5,28.9,5.0,996.7
4,22.5,28.8,5.0,996.7
4,22.5,28.8,5.0,996.7
4,22.5,28.8,5.0,996.6
4,22.5,28.8,5.0,996.6
4,22.4,28.8,5.0,996.7
4,22.4,28.8,5.0,996.7
4,22.4,28.8,5.0,996.7
4,22.4,28.8,5.0,996.7
4,22.5,29.1,65531.0,996.7
4,22.5,29.1,65531.0,996.7
4,22.5,28.8,4.0,996.7
4,22.5,28.8,4.0,996.7
4,22.5,28.8,4.0,996.8
4,22.5,28.8,4.0,996.8
4,22.5,28.8,4.0,996.7
4,22.5,28.8,4.0,996.7
4,22.5,28.8,4.0,996.7
4,22.5,28.8,4.0,996.7
4,22.5,28.8,4.0,996.8
4,22.5,28.8,4.0,996.8
4,22.5,28.8,4.0,996.7
4,22.5,28.8,4.0,996.7
4,22.5,28.8,4.0,996.6
4,22.5,28.8,4.0,996.6
4,22.5,28.8,4.0,996.8
4,22.5,28.8,4.0,996.8
4,22.5,28.8,4.0,996.6
4,22.5,28.8,4.0,996.6
4,22.5,28.8,4.0,996.6
4,22.5,28.8,4.0,996.6
4,22.5,28.8,4.0,996.7
4,22.5,28.8,4.0,996.7
4,22.4,28.8,4.0,996.7
4,22.4,28.8,4.0,996.7
4,22.4,28.8,4.0,996.7
4,22.4,28.8,4.0,996.7
4,22.4,28.8,3.0,996.7
4,22.4,28.8,3.0,996.7
4,22.5,28.8,2.0,996.7
3,22.5,28.8,2.0,996.7
3,22.4,28.8,3.0,996.7
3,22.4,28.8,3.0,996.7
3,22.4,28.8,2.0,996.7
3,22.4,28.8,2.0,996.7
3,22.4,28.8,2.0,996.7
4,22.4,28.8,2.0,996.7
4,22.4,28.8,2.0,996.6
4,22.4,28.8,2.0,996.6
4,22.4,28.8,2.0,996.7
4,22.4,28.8,2.0,996.7
4,22.4,28.8,2.0,996.7
4,22.4,28.8,2.0,996.7
4,22.4,28.8,2.0,996.7
4,22.4,28.8,2.0,996.7
4,22.4,28.8,2.0,996.7
4,22.4,28.8,2.0,996.7
4,22.4,28.8,2.0,996.6
4,22.4,28.8,2.0,996.6
4,22.4,28.8,2.0,996.7
4,22.4,28.8,2.0,996.7
4,22.4,28.8,3.0,996.7
4,22.4,28.8,3.0,996.7
3,22.4,28.8,2.0,996.7
3,22.4,28.8,2.0,996.7
3,22.4,28.8,3.0,996.7
3,22.4,28.8,3.0,996.7
2,22.4,28.8,3.0,996.7
3,22.4,28.8,16.0,996.7
2,22.4,28.8,16.0,996.7
2,22.4,28.8,18.0,996.7
2,22.4,28.8,18.0,996.7
2,22.4,28.7,17.0,996.8
2,22.4,28.7,17.0,996.8
2,22.4,28.7,17.0,996.7
2,22.4,28.7,17.0,996.7
2,22.4,28.7,16.0,996.8
2,22.4,28.7,16.0,996.8
2,22.4,28.7,16.0,996.7
2,22.4,28.7,16.0,996.7
2,22.4,28.7,16.0,996.9
2,22.4,28.7,16.0,996.9
2,22.4,28.7,16.0,996.7
3,22.4,28.7,16.0,996.7
2,22.4,28.6,16.0,996.6
1,22.4,28.6,16.0,996.6
1,22.4,28.7,17.0,996.6
2,22.4,28.7,17.0,996.6
3,22.4,28.7,17.0,996.6
3,22.4,28.7,17.0,996.6
3,22.3,28.7,16.0,996.6
3,22.3,28.7,16.0,996.6
3,22.4,28.7,17.0,996.6
3,22.4,28.7,17.0,996.6
3,22.4,28.7,17.0,996.6
3,22.4,28.7,17.0,996.6
3,22.4,28.7,17.0,996.6
3,22.4,28.7,17.0,996.6
3,22.4,28.7,16.0,996.6
3,22.4,28.7,16.0,996.6
3,22.4,28.7,16.0,996.6
3,22.4,28.7,16.0,996.6
3,22.4,28.8,16.0,996.6
3,22.4,28.8,16.0,996.6
3,22.4,28.8,16.0,996.7
3,22.4,28.8,16.0,996.7
3,22.4,28.8,16.0,996.6
3,22.4,28.8,16.0,996.6
3,22.4,28.8,16.0,996.7
3,22.4,28.8,16.0,996.7
3,22.4,28.8,16.0,996.6
3,22.4,28.8,16.0,996.6
3,22.4,28.8,16.0,996.8
3,22.4,28.8,16.0,996.8
3,22.4,28.8,16.0,996.6
3,22.4,28.8,16.0,996.6
3,22.4,28.8,16.0,996.6
3,22.4,28.8,16.0,996.6
3,22.4,28.8,16.0,996.7
3,22.4,28.8,16.0,996.7
