PersonCount,Temperature,Humidity,Light,Pressure
5,20.9,22.1,3.0,1000.7
1,21.2,27.6,9.0,1005.9
3,21.4,27.4,16.0,1004.5
1,22.3,29.3,7.0,1011.9
10,21.3,31.0,0.0,1003.9
5,21.2,20.7,2.0,1006.2
7,21.4,23.3,0.0,1022.3
1,21.0,29.3,2.0,1013.6
5,21.3,24.4,65531.0,1012.5
4,22.4,29.3,18.0,1016.9
3,22.0,28.1,0.0,1016.4
7,21.4,23.5,65531.0,1022.5
4,22.1,30.2,21.0,1013.4
5,22.6,30.5,17.0,1012.7
1,21.1,26.9,3.0,1004.9
3,22.4,28.8,16.0,996.7
1,21.2,29.1,3.0,1013.7
1,21.3,29.8,9.0,1010.0
1,21.6,30.0,2.0,1013.5
3,22.1,28.3,1.0,1016.6
2,21.4,33.8,0.0,989.5
5,21.6,23.1,0.0,1022.1
5,21.3,26.6,2.0,1013.0
1,21.4,30.1,13.0,1006.6
5,22.5,30.2,17.0,1012.7
3,21.7,27.8,0.0,1016.0
5,21.4,23.3,1.0,1022.3
2,20.9,27.6,0.0,1005.4
5,21.1,21.9,1.0,1004.2
1,21.1,31.7,2.0,1008.5
5,21.1,27.3,1.0,1012.6
5,21.0,27.4,1.0,1012.5
2,22.1,28.5,22.0,1004.6
7,21.4,23.3,0.0,1022.5
1,21.5,29.9,1.0,1013.7
7,22.5,30.8,15.0,1011.1
1,21.3,30.7,2.0,1007.0
1,21.3,31.6,3.0,1006.4
14,21.6,28.9,65531.0,1007.7
5,22.0,23.9,29.0,1019.9
5,21.2,20.6,2.0,1006.4
5,21.7,28.9,2.0,1012.5
5,21.7,22.4,25.0,1020.8
5,20.9,22.1,3.0,1000.7
1,21.8,26.9,2.0,1007.2
1,20.9,25.3,1.0,1003.2
1,21.4,30.9,2.0,1007.1
1,21.2,26.7,2.0,1004.6
1,21.4,30.1,13.0,1006.6
1,20.9,29.3,2.0,1013.9
1,21.2,26.7,1.0,1004.8
1,21.3,25.9,8.0,1004.6
1,21.8,29.6,2.0,1012.7
3,21.7,22.0,20.0,1021.2
1,20.9,25.6,2.0,1003.6
1,21.4,31.1,3.0,1006.2
4,21.6,27.5,0.0,1013.4
1,21.3,25.8,7.0,1004.6
1,21.4,23.9,1.0,1004.1
1,21.4,31.3,2.0,1007.0
4,22.2,34.2,18.0,990.2
5,21.3,27.6,2.0,1013.1
1,21.8,24.1,2.0,1004.9
1,22.3,26.7,17.0,1006.2
1,22.3,29.8,17.0,1012.2
3,21.5,27.5,0.0,1012.5
7,22.8,23.6,20.0,1018.2
1,22.1,26.8,16.0,1007.0
6,21.3,23.4,0.0,1022.2
7,21.3,33.3,0.0,988.9
5,22.4,21.5,23.0,1009.5
1,21.7,24.1,2.0,1005.0
9,21.1,32.7,0.0,990.2
3,22.3,27.8,21.0,1005.1
17,21.3,31.2,65531.0,1001.3
1,21.4,29.9,13.0,1006.5
1,21.6,30.1,2.0,1013.4
3,22.0,28.1,0.0,1016.4
1,20.9,25.6,2.0,1003.6
1,21.2,26.9,5.0,1005.3
1,21.4,30.1,13.0,1006.5
1,21.4,30.2,1.0,1013.7
15,22.3,32.0,18.0,993.9
5,20.6,23.7,2.0,1012.0
1,21.0,29.3,2.0,1013.5
5,22.0,22.8,0.0,1020.9
10,21.3,31.1,0.0,1004.4
4,22.5,27.5,17.0,1005.8
3,22.0,28.2,0.0,1016.5
5,21.0,27.4,1.0,1012.4
15,22.3,32.2,17.0,993.8
1,21.4,24.1,1.0,1003.7
1,21.0,31.8,2.0,1008.6
3,21.5,27.4,0.0,1009.8
1,21.3,29.1,16.0,1013.7
5,20.7,24.4,2.0,1012.5
1,21.3,31.0,3.0,1009.2
17,21.8,29.8,17.0,1009.5
5,21.3,20.2,2.0,1006.9
1,21.5,29.2,18.0,1013.6
1,22.1,26.7,65531.0,1007.1
1,21.4,31.2,65531.0,1006.3
7,22.6,27.8,19.0,1018.9
1,22.3,27.1,18.0,1005.6
1,21.4,30.0,1.0,1013.7
5,21.1,27.3,1.0,1013.0
5,21.0,23.1,73.0,1011.7
5,21.2,27.2,1.0,1013.0
17,21.4,30.8,0.0,1001.7
1,22.2,26.6,16.0,1006.7
15,22.3,32.2,18.0,993.6
5,21.3,27.7,2.0,1013.1
5,21.1,27.3,1.0,1012.9
1,21.5,27.0,1.0,1006.7
1,21.4,31.0,2.0,1007.0
5,21.2,27.1,1.0,1013.1
5,22.0,22.5,0.0,1020.9
1,21.2,26.8,1.0,1004.7
5,21.6,20.3,6.0,1007.9
4,22.3,34.8,65531.0,990.5
1,21.3,29.0,0.0,993.5
6,22.3,22.5,0.0,1020.4
4,22.4,27.8,18.0,1005.6
2,21.4,33.7,0.0,989.2
1,21.3,24.1,2.0,1004.2
1,21.2,26.8,2.0,1004.7
0,22.0,28.2,1.0,996.9
1,21.2,26.7,2.0,1004.6
1,22.3,27.6,20.0,1005.3
7,21.0,32.7,0.0,989.1
4,22.2,34.2,18.0,990.4
1,21.4,24.1,2.0,1004.5
7,21.4,33.2,0.0,988.8
2,21.4,33.7,0.0,989.3
4,22.3,29.7,22.0,1013.3
1,21.9,24.4,3.0,1004.7
1,21.3,25.9,7.0,1004.5
5,21.1,23.3,6.0,1000.8
5,21.2,20.7,2.0,1006.2
5,21.1,22.3,1.0,1002.8
4,22.5,28.8,5.0,996.7
7,21.3,33.2,0.0,988.8
11,21.1,32.5,2.0,990.0
5,20.9,27.1,1.0,1012.9
1,21.2,26.2,7.0,1004.7
1,21.5,29.2,17.0,1013.5
5,21.4,28.1,2.0,1012.9
2,22.0,34.6,16.0,989.4
7,21.4,23.3,0.0,1022.5
11,21.2,32.2,1.0,990.7
1,21.2,26.6,6.0,1004.7
1,21.2,26.7,2.0,1004.7
9,21.0,32.7,0.0,989.1
4,21.7,27.6,1.0,1014.4
1,21.2,26.9,4.0,1004.6
1,21.2,26.7,2.0,1005.4
5,23.2,21.2,65531.0,1010.0
1,21.3,24.3,65531.0,1003.6
5,21.2,27.1,1.0,1013.0
1,21.2,31.4,2.0,1008.9
3,20.9,23.3,0.0,1022.2
5,21.2,20.3,2.0,1006.4
5,22.6,21.8,24.0,1010.3
5,21.0,22.7,1.0,1001.5
15,22.3,32.0,20.0,994.0
1,21.3,26.2,6.0,1004.9
11,21.1,32.4,2.0,990.1
1,22.2,26.5,16.0,1006.7
1,21.4,31.1,2.0,1006.9
1,22.1,26.6,17.0,1006.0
15,22.3,32.0,16.0,994.6
1,21.1,26.7,2.0,1005.1
3,21.4,27.3,0.0,1007.4
5,20.7,23.4,11.0,1011.9
1,21.2,26.7,1.0,1004.8
6,21.2,23.4,0.0,1022.2
5,21.2,27.1,1.0,1013.0
1,21.2,26.2,9.0,1004.9
1,21.4,25.4,3.0,1004.2
5,21.0,22.6,1.0,1001.7
1,21.3,29.2,25.0,1010.5
3,21.4,27.4,0.0,1009.1
1,21.2,26.6,6.0,1004.6
4,22.1,30.3,8.0,1013.4
4,22.4,27.6,18.0,1005.8
1,21.3,29.1,0.0,994.0
5,23.5,23.3,65531.0,1011.3
10,21.1,30.7,0.0,1005.4
1,21.2,27.0,3.0,1005.0
6,21.3,23.4,0.0,1022.1
1,21.0,29.3,2.0,1013.5
1,22.3,29.8,17.0,1012.2
1,20.9,29.4,2.0,1013.5
2,21.5,28.9,0.0,996.4
5,22.4,22.2,23.0,1011.5
1,21.3,30.5,2.0,1007.4
5,22.1,24.1,24.0,1019.6
7,21.4,33.5,0.0,989.1
5,21.7,22.1,65531.0,1011.7
14,22.0,31.8,2.0,995.7
2,22.3,28.1,21.0,1004.9
5,22.6,21.8,20.0,1009.9
1,21.2,26.8,2.0,1004.7
3,22.4,28.5,5.0,996.9
1,21.5,29.1,26.0,1010.5
5,22.1,20.7,8.0,1009.3
5,21.1,21.2,1.0,1005.7
1,22.1,26.6,16.0,1006.3
5,20.8,22.4,1.0,1001.4
5,21.0,22.7,1.0,1001.6
5,21.3,22.6,71.0,1011.5
0,22.3,28.5,15.0,996.6
1,21.5,26.9,2.0,1007.4
1,21.2,28.0,22.0,1006.2
1,21.5,30.2,65531.0,1013.7
1,21.2,26.7,2.0,1005.0
12,20.9,32.7,1.0,989.7
4,21.1,23.3,0.0,1022.4
1,21.2,26.9,1.0,1004.8
5,21.2,20.6,2.0,1006.3
1,22.0,29.8,7.0,1013.6
5,21.4,26.7,1.0,1013.0
1,21.0,32.0,2.0,1008.6
10,21.3,30.8,0.0,1002.3
1,21.3,30.6,1.0,1007.2
4,22.2,34.2,18.0,990.2
10,22.6,26.3,21.0,1019.5
2,21.8,34.1,0.0,989.8
1,21.0,32.0,2.0,1008.6
15,21.1,29.4,2.0,1007.6
5,21.3,26.8,1.0,1013.0
5,21.5,28.3,2.0,1012.8
1,22.1,26.7,17.0,1005.9
4,22.2,34.2,18.0,989.9
1,21.2,26.8,2.0,1004.7
1,21.3,24.2,2.0,1003.6
7,22.7,22.8,19.0,1018.4
4,21.6,27.5,0.0,1014.0
1,21.4,30.0,1.0,1013.6
14,22.0,34.5,18.0,991.2
1,21.2,29.8,1.0,1013.8
2,21.4,33.6,0.0,989.1
1,21.1,31.8,2.0,1008.6
1,22.0,26.9,2.0,1007.0
4,21.9,34.6,16.0,989.6
4,22.5,27.7,18.0,1005.9
2,21.4,29.1,0.0,995.7
13,21.2,32.9,22.0,991.1
1,22.3,26.9,18.0,1005.8
1,22.3,29.9,65531.0,1012.2
1,21.0,29.2,2.0,1013.4
15,22.8,31.2,65531.0,995.1
5,21.3,20.3,65531.0,1006.8
5,21.0,22.7,1.0,1001.5
1,21.3,29.0,0.0,993.6
5,20.8,22.1,3.0,1000.8
1,21.4,30.3,7.0,1006.5
1,21.2,26.7,2.0,1004.6
2,21.4,33.5,0.0,989.2
7,21.4,23.3,0.0,1022.5
1,21.7,29.9,2.0,1013.2
1,21.5,26.9,2.0,1007.0
5,21.4,20.2,2.0,1006.9
3,21.4,27.3,65531.0,1007.6
5,22.3,34.5,16.0,991.0
3,21.7,21.9,15.0,1021.0
5,22.6,30.5,17.0,1012.8
1,22.3,27.5,20.0,1005.2
1,22.3,29.8,25.0,1011.5
1,21.3,31.8,2.0,1006.5
5,21.1,27.3,2.0,1013.0
5,21.3,26.8,1.0,1013.1
5,21.0,23.0,72.0,1011.8
2,21.8,34.1,0.0,989.7
1,21.3,26.2,7.0,1004.7
1,21.2,26.7,2.0,1005.1
10,21.3,31.0,0.0,1004.7
3,21.7,27.6,0.0,1014.9
1,21.2,26.6,6.0,1004.7
5,21.0,22.7,1.0,1002.3
4,22.1,30.2,22.0,1013.4
12,20.8,30.3,0.0,1005.9
7,21.3,23.3,0.0,1022.5
5,21.1,22.4,1.0,1002.4
1,21.2,27.9,26.0,1006.0
1,21.2,26.7,2.0,1005.0
5,21.2,20.9,2.0,1006.3
5,22.5,21.7,22.0,1009.8
1,21.2,26.9,4.0,1004.5
5,21.8,23.4,24.0,1020.2
17,21.4,31.0,1.0,998.8
3,21.7,27.8,65531.0,1015.2
1,21.3,29.0,16.0,1013.7
5,21.0,22.7,1.0,1002.1
1,21.4,29.9,1.0,1013.7
11,22.8,27.1,18.0,1019.4
17,21.6,29.8,18.0,1009.2
11,21.2,32.3,1.0,991.0
15,22.1,32.0,16.0,995.1
14,21.9,31.1,1.0,996.7
1,22.2,26.3,16.0,1006.4
1,22.2,26.4,16.0,1006.8
1,21.3,30.8,1.0,1007.2
5,21.3,27.3,65531.0,1013.1
14,22.1,32.6,19.0,993.4
15,22.1,32.0,16.0,995.2
6,22.3,22.4,1.0,1020.4
3,22.3,29.0,16.0,1016.7
6,21.3,23.4,0.0,1022.1
3,22.5,29.8,18.0,1013.1
10,21.3,30.8,0.0,1002.3
11,21.1,32.3,1.0,990.3
1,21.2,26.8,2.0,1004.8
7,21.3,33.1,0.0,988.9
1,22.3,26.8,17.0,1006.2
1,21.2,31.9,2.0,1009.1
7,21.9,23.2,65531.0,1022.4
1,21.3,30.5,2.0,1007.6
1,22.3,29.9,24.0,1011.5
5,21.8,29.2,2.0,1012.3
1,21.2,26.9,3.0,1004.6
10,21.3,31.0,0.0,1004.8
1,21.8,29.6,2.0,1012.7
1,21.2,26.6,2.0,1005.1
1,21.2,26.8,1.0,1004.8
1,20.9,29.4,2.0,1013.9
5,21.0,22.0,1.0,1003.8
6,21.3,23.4,0.0,1022.1
5,20.6,23.5,5.0,1011.9
7,21.4,33.3,0.0,988.9
1,21.1,31.8,2.0,1008.6
17,21.3,31.0,0.0,1000.7
4,22.2,29.9,21.0,1013.3
4,22.2,34.2,16.0,990.5
5,20.5,22.3,1.0,1001.1
1,21.3,30.7,1.0,1007.1
0,21.9,28.2,0.0,997.0
15,20.9,29.7,1.0,1007.0
8,22.5,28.6,21.0,1018.3
1,22.1,29.2,28.0,1011.3
10,21.3,31.0,0.0,1004.8
1,21.3,30.6,2.0,1007.3
5,20.7,23.4,6.0,1011.9
5,20.6,22.3,2.0,1000.9
5,21.8,28.9,3.0,1012.3
14,22.2,34.5,16.0,991.1
1,21.2,26.6,6.0,1004.6
11,21.2,32.3,1.0,990.7
1,22.3,26.9,17.0,1005.9
1,21.2,29.1,16.0,1013.8
5,21.7,23.1,24.0,1020.5
1,22.3,29.3,7.0,1012.0
5,21.5,23.2,0.0,1022.3
3,22.5,30.2,17.0,1012.9
7,22.5,31.0,15.0,1011.3
1,21.2,25.5,3.0,1004.0
1,21.4,29.1,16.0,1013.7
5,21.1,22.3,1.0,1002.6
1,21.2,26.7,1.0,1004.6
3,21.0,23.1,2.0,1022.4
5,22.2,22.5,0.0,1020.6
0,22.4,28.8,14.0,996.5
1,21.4,30.8,1.0,1007.3
2,21.5,33.4,1.0,989.2
11,21.1,32.3,2.0,990.0
14,21.3,29.1,17.0,1008.3
5,21.3,26.9,2.0,1013.2
1,21.3,30.0,1.0,1013.7
1,22.4,29.8,22.0,1011.6
1,21.4,31.1,2.0,1006.8
5,22.7,23.2,26.0,1011.3
1,21.4,30.2,11.0,1006.6
1,21.5,26.9,2.0,1006.8
1,22.1,26.7,17.0,1006.3
1,21.5,29.5,65531.0,1013.6
1,22.1,29.2,29.0,1011.4
1,21.3,30.7,2.0,1007.0
3,21.2,23.1,1.0,1021.9
1,21.6,30.0,2.0,1013.4
7,22.7,27.7,21.0,1019.0
1,21.8,27.0,2.0,1007.1
5,22.7,21.9,23.0,1010.6
4,22.3,34.3,17.0,990.9
1,21.4,30.8,2.0,1007.2
10,21.3,31.0,0.0,1003.6
1,21.4,29.9,1.0,1013.7
5,22.1,22.2,27.0,1011.5
1,21.3,29.1,0.0,994.3
3,21.7,27.6,0.0,1014.9
14,21.9,31.1,1.0,996.5
17,22.0,29.8,65531.0,1001.7
1,22.0,28.5,17.0,1004.7
4,22.3,34.8,65531.0,989.5
2,21.4,33.6,0.0,989.3
1,22.2,29.4,3.0,1012.3
17,21.3,31.1,1.0,999.6
4,22.5,28.8,5.0,996.9
1,21.2,26.2,7.0,1004.7
15,21.3,32.3,3.0,991.7
5,22.4,21.6,25.0,1009.6
1,21.4,31.1,4.0,1006.3
10,20.7,30.4,0.0,1005.5
10,21.3,31.0,0.0,1003.6
1,21.3,31.6,3.0,1006.4
14,22.3,30.3,17.0,1010.3
1,21.2,29.2,25.0,1010.3
14,21.2,29.2,16.0,1008.0
1,22.4,27.6,17.0,1006.2
15,22.2,30.3,17.0,1009.9
2,20.8,27.7,1.0,1006.0
10,21.3,31.0,0.0,1006.1
14,21.9,31.6,2.0,996.1
3,21.5,27.4,0.0,1010.2
1,21.5,29.9,1.0,1013.7
6,21.4,27.8,4.0,1004.4
14,21.3,29.1,17.0,1008.3
1,21.3,31.2,2.0,1006.8
1,21.9,30.6,65531.0,1009.2
1,21.2,26.4,8.0,1004.8
12,20.9,29.7,0.0,1006.7
1,21.3,24.3,2.0,1003.6
1,21.4,24.0,1.0,1004.0
4,22.1,34.4,17.0,989.8
1,21.7,29.3,65531.0,1013.5
1,22.0,29.3,2.0,1012.6
5,22.7,22.4,24.0,1011.0
10,22.7,23.5,20.0,1018.0
1,20.9,29.3,2.0,1013.5
5,20.6,25.8,1.0,1012.3
5,21.1,21.2,1.0,1005.7
1,21.4,29.0,65531.0,1006.2
1,22.3,29.8,4.0,1012.2
5,22.7,22.0,24.0,1010.9
7,21.3,33.2,0.0,988.8
1,21.6,27.0,2.0,1007.6
1,21.5,26.9,2.0,1006.8
16,22.4,32.2,18.0,994.2
10,21.3,31.0,0.0,1003.8
5,21.2,21.2,2.0,1005.8
5,21.5,28.4,2.0,1012.5
5,21.0,27.5,1.0,1012.4
1,21.4,30.8,2.0,1007.2
1,21.2,26.2,13.0,1004.8
13,21.8,34.2,19.0,991.2
14,21.2,29.1,16.0,1008.1
2,21.5,28.8,0.0,996.4
9,21.0,32.6,0.0,990.1
1,21.3,30.6,2.0,1007.3
6,21.3,23.4,0.0,1022.2
7,21.4,33.5,0.0,989.0
3,21.6,27.6,0.0,1014.8
1,20.9,29.3,2.0,1013.7
3,20.8,22.8,4.0,1021.7
1,22.3,26.7,17.0,1006.2
5,22.2,22.6,0.0,1020.7
1,21.4,30.0,1.0,1013.7
1,21.4,29.8,1.0,1013.6
1,21.6,29.9,1.0,1013.5
5,21.0,22.6,1.0,1002.0
1,22.2,29.3,2.0,1012.3
5,22.6,22.7,24.0,1011.4
1,21.4,25.6,3.0,1004.4
1,20.9,29.3,2.0,1013.8
10,22.0,32.4,65531.0,992.1
7,21.2,33.1,0.0,988.9
4,21.9,34.5,15.0,989.5
5,21.1,21.5,2.0,1005.1
1,22.1,28.7,17.0,1011.1
1,21.7,30.0,3.0,1013.1
4,22.3,34.2,17.0,990.5
5,21.3,20.3,2.0,1006.5
1,21.5,27.0,2.0,1006.6
18,22.1,30.3,16.0,1009.8
1,21.2,26.6,2.0,1005.1
1,21.3,29.1,0.0,994.5
5,21.0,27.5,1.0,1012.3
1,21.3,24.2,2.0,1004.4
3,21.4,27.3,0.0,1008.6
1,21.6,27.0,2.0,1007.8
14,21.8,33.1,18.0,992.9
7,21.4,23.3,0.0,1022.5
1,21.3,31.3,3.0,1009.0
1,22.0,24.5,3.0,1004.7
5,21.0,23.1,70.0,1011.8
10,21.5,33.3,17.0,992.4
1,21.4,29.8,14.0,1006.5
1,21.8,29.1,65531.0,1013.6
5,22.7,22.0,23.0,1010.9
5,21.2,27.0,1.0,1013.0
1,21.3,29.1,0.0,993.9
5,21.1,22.2,1.0,1002.9
1,21.6,24.1,2.0,1004.9
1,21.1,26.8,2.0,1004.7
1,21.3,30.8,1.0,1007.1
1,21.6,30.1,2.0,1013.3
1,21.0,29.3,2.0,1014.0
2,22.2,28.1,24.0,1004.9
5,22.2,21.8,25.0,1011.3
3,21.7,27.6,0.0,1015.1
1,21.3,30.0,1.0,1013.7
7,22.5,30.3,16.0,1011.0
1,21.3,31.5,2.0,1006.8
2,21.3,27.5,2.0,1004.8
1,21.6,24.1,2.0,1004.9
5,22.9,23.4,24.0,1011.4
1,22.2,29.5,6.0,1012.0
5,20.9,23.2,69.0,1012.0
1,21.2,26.8,2.0,1004.7
1,21.3,31.7,2.0,1006.7
8,22.4,28.1,17.0,1018.5
5,21.5,28.5,2.0,1012.5
7,21.4,23.3,0.0,1022.4
5,20.7,22.2,2.0,1000.8
5,22.3,29.1,17.0,1016.7
1,21.8,29.2,32.0,1010.9
5,21.3,20.3,2.0,1006.4
3,20.9,22.6,4.0,1021.7
7,21.3,23.3,0.0,1022.3
15,22.6,29.8,16.0,1010.8
11,21.1,32.4,2.0,990.2
1,21.2,26.8,2.0,1004.8
6,22.4,22.4,3.0,1019.4
3,21.7,27.6,0.0,1015.3
1,21.6,29.1,30.0,1010.8
3,21.3,22.5,21.0,1021.6
5,22.8,23.4,65531.0,1011.2
3,21.4,33.5,0.0,989.1
1,21.6,26.9,2.0,1007.5
1,21.1,24.7,1.0,1004.1
5,21.3,26.8,1.0,1013.1
5,22.8,22.9,25.0,1011.2
7,21.3,33.3,0.0,988.8
1,21.0,29.3,2.0,1013.5
0,22.3,28.5,14.0,996.9
1,21.5,26.9,1.0,1006.8
1,21.2,26.8,1.0,1004.7
10,21.4,31.2,65531.0,1003.8
1,21.3,28.6,17.0,1006.2
1,22.1,26.9,2.0,1007.1
10,21.3,31.0,0.0,1004.0
5,20.6,22.3,2.0,1001.0
5,21.1,21.2,2.0,1005.8
1,21.4,29.9,1.0,1013.6
1,21.4,30.9,4.0,1006.4
1,21.2,26.9,65531.0,1005.1
1,21.3,24.1,2.0,1004.4
4,22.2,34.5,16.0,989.5
11,21.0,32.5,1.0,989.9
1,21.2,26.6,5.0,1004.6
1,21.2,26.7,1.0,1004.8
4,22.2,34.3,17.0,989.8
3,22.1,28.3,1.0,1016.6
5,21.1,22.1,1.0,1003.1
3,22.0,28.2,0.0,1016.4
3,22.3,29.7,20.0,1013.2
5,21.7,21.8,27.0,1020.9
3,21.5,27.3,0.0,1011.2
1,21.7,30.0,2.0,1013.1
1,21.3,31.9,2.0,1006.6
5,22.4,21.6,23.0,1009.6
